id,movie_id,title,poster_path,vote_average,genre_ids,overview,release_date,rating,user_id
1,753230,As Três Mortes de Marisela,/1iJISbVE1dogW5Qp1fI6nUf7JFD.jpg,8.9,"99,80",Este documentário acompanha a jornada incansável de uma mãe para capturar o assassino da filha e expõe as falhas do sistema judiciário do México.,2020-10-14,NONE,1
2,278,Um Sonho de Liberdade,/xSnM4ahmz692msbMTBsfBWHvR3M.jpg,8.708,"18,80","Em 1946, Andy Dufresne, um banqueiro jovem e bem sucedido, tem a sua vida radicalmente modificada ao ser condenado por um crime que nunca cometeu, o homicídio de sua esposa e do amante dela. Ele é mandado para uma prisão que é o pesadelo de qualquer detento, a Penitenciária Estadual de Shawshank, no Maine. Lá ele irá cumprir a pena perpétua. Andy logo será apresentado a Warden Norton, o corrupto e cruel agente penitenciário, que usa a Bíblia como arma de controle e ao Capitão Byron Hadley que trata os internos como animais. Andy faz amizade com Ellis Boyd Redding, um prisioneiro que cumpre pena há 20 anos e controla o mercado negro da instituição.",1994-09-23,NONE,1
3,238,O Poderoso Chefão,/kpZcRSrYYkowpiw2d6ZVdF1HWFc.jpg,8.69,"18,80","Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes favores para elas, em troca de favores futuros. Com a chegada das drogas, as famílias começam uma disputa pelo promissor mercado. Quando Corleone se recusa a facilitar a entrada dos narcóticos na cidade, não oferecendo ajuda política e policial, sua família começa a sofrer atentados para que mudem de posição. É nessa complicada época que Michael, um herói de guerra nunca envolvido nos negócios da família, vê a necessidade de proteger o seu pai e tudo o que ele construiu ao longo dos anos.",1972-03-14,LIKE,1
4,240,O Poderoso Chefão: Parte II,/7g6wvsWHxBQujUcSXvZLhdFpDUy.jpg,8.572,"18,80","Após a máfia matar sua família, o jovem Vito foge da sua cidade na Sicília e vai para a América. Vito luta para manter sua família. Ele mata Black Hand Fanucci, que exigia dos comerciantes uma parte dos seus ganhos. Com a morte de Fanucci, o poderio de Vito cresce, mas sua família é o que mais importa para ele. Agora baseado no Lago Tahoe, Michael planeja fazer incursões em Las Vegas e Havana instalando negócios ligados ao lazer, mas descobre que aliados como Hyman Roth estão tentando matá-lo.",1974-12-20,DISLIKE,1
5,155,Batman: O Cavaleiro das Trevas,/4lj1ikfsSmMZNyfdi8R8Tv5tsgb.jpg,8.5,"18,28,80,53","Após dois anos desde o surgimento do Batman, os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon e do promotor público Harvey Dent, Batman luta contra o crime organizado. Acuados com o combate, os chefes do crime aceitam a proposta feita pelo Coringa e o contratam para combater o Homem-Morcego.",2008-07-16,NONE,1
6,497,À Espera de um Milagre,/14hEqW67IiHlKpzKMLUXyktzZIV.jpg,8.507,"14,18,80","Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um gentil e gigante prisioneiro com poderes sobrenaturais, traz um senso de espírito e humanidade aos seus guardas e colegas de cela.",1999-12-10,NONE,1
7,680,Pulp Fiction: Tempo de Violência,/tptjnB2LDbuUWya9Cx5sQtv5hqb.jpg,8.5,"53,80","Vincent Vega e Jules Winnfield são dois assassinos profissionais que trabalham fazendo cobranças para Marsellus Wallace, um poderosos gângster. Vega é forçado a sair com a garota do chefe, temendo passar dos limites. Enquanto isso, o pugilista Butch Coolidge se mete em apuros por ganhar uma luta que deveria perder.",1994-09-10,NONE,1
8,769,Os Bons Companheiros,/lanYBnyCcqkaFqz66B8PrBRCtCW.jpg,8.457,"18,80","A história de Henry Hill e sua vida na máfia, cobrindo seu relacionamento com sua esposa Karen e seus parceiros mafiosos Jimmy Conway e Tommy DeVito.",1990-09-12,NONE,1
9,598,Cidade de Deus,/gfnXixcGC060QcG6JPxN6AMdVsq.jpg,8.425,"18,80","Buscapé é um jovem morador da Cidade de Deus que cresce em meio à violência. Com medo de se tornar um bandido, enxerga na fotografia uma oportunidade de ter uma vida digna.",2002-08-30,NONE,1
10,311,Era Uma Vez na América,/ojfEiNOBX7eqh4fDhRhNDTwb38R.jpg,8.42,"18,80","Depois de crescer no gueto judeu de Nova Iorque e se destacar no crime organizado da Era da Proibição, um gângster de idade retorna a Brooklyn para enfrentar seu passado.",1984-05-23,NONE,1
11,377462,O.J.: Made in America,/ubXcFOttFt8HINYgeuETwb6x3B7.jpg,8.419,"99,80,36",,2016-05-20,NONE,1
12,807,Seven: Os Sete Crimes Capitais,/cNFCNa5jUYmFmSpCg7dJ3jWd22d.jpg,8.4,"80,9648,53","Quando, a ponto de se aposentar, o detetive William Somerset aborda o último caso com a ajuda do recém-transferido David Mills, eles descobrem uma série de assassinatos. Logo percebem que estão lidando com um assassino que tem como alvo pessoas que ele acredita representar os sete pecados capitais.",1995-09-22,NONE,1
13,274,O Silêncio dos Inocentes,/paGUSTwcFrAxpGV1hSQ2wsI28id.jpg,8.347,"80,18,53","Clarice Starling, uma das melhores estudantes da academia de treinamento do FBI. Jack Crawford quer que Clarice entreviste o Dr. Hannibal Lecter, um psiquiatra brilhante e também um psicopata violento, que cumpre prisão perpétua por vários atos de assassinato e canibalismo. Crawford acredita que Lecter pode ter uma visão em um caso e que Starling, como uma mulher jovem e atraente, pode ser a isca para atraí-lo.",1991-02-14,LIKE,1
14,12493,Céu e Inferno,/iRvFiy9JpNMQp9PUG2qvN0jfcdG.jpg,8.331,"18,80,9648","Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e pedem resgate.
 O executivo Gondo (Toshirô Mifune) hipoteca tudo o que tem na tentativa de assumir a Companhia Nacional de Sapatos, para manter a empresa fora das mãos dos outros executivos incompetentes e gananciosos. Contudo, o mesmo dinheiro que ele arrecada pode pagar o resgate que possivelmente irá salvara vida de uma criança, levando o executivo a tomar decisões extremas e elaborar procedimentos policiais. A resolução desse dilema - a perda certa da empresa vs a perda provável da criança - cria um drama distinto, e um elaborado procedimento de polícia cria um segundo. (e 12 - Estimado 12 Anos)",1963-03-01,DISLIKE,1
15,15804,Um Dia Quente de Verão,/bqbMsq4ksrGOgI8m6aIt5QSsaY3.jpg,8.3,"80,18,10749","Baseado em uma história verídica sobre um conflito entre duas gangues de jovens, a namorada de um garoto de 14 anos entra em conflito com o chefe de uma gangue por uma razão pouco clara, até que finalmente o conflito atinge um clímax violento.",1991-07-27,NONE,1
16,101,O Profissional,/eIS5HF3wr7E6D1aABJ1IfK3siNF.jpg,8.305,"80,18,28","Mathilda tem apenas 12 anos de idade mas já conhece o lado obscuro da vida: seu pai abusivo guarda drogas para policiais corruptos e a mãe a negligencia. O vizinho Léon gosta de cuidar de plantas, mas é um assassino de aluguel para o gângster Tony. Quando sua família é assassinada por um agente antidrogas desonesto, Mathilda se une a um relutante Léon para aprender o negócio mortal e vingar a morte da família.",1994-09-14,NONE,2
17,29259,A Um Passo da Liberdade,/aPbc8vnGvaiFpnIbJdbWNH8ttpF.jpg,8.3,"18,53,80","Quatro detentos estão planejando fugir da prisão quando outro prisioneiro, Claude Gaspard, é transferido para a cela deles. Eles arriscam e resolvem compartilhar seu plano com o recém-chegado. Ao longo de três dias, os cinco homens começam a jornada, mas a fuga está longe de estar garantida.",1960-03-18,NONE,1
18,37257,Testemunha de Acusação,/x19FjKz45i3Fwlj6wGZUBHUAR1y.jpg,8.208,"18,9648,80","Quando Leonard Vole (Tyrone Power) é preso sob a acusação de ter assassinado uma rica viúva de meia-idade, Sir Wilfrid Robarts (Charles Laughton), um veterano e astuto advogado, concorda em defendê-lo. Sir Wilfrid está se recuperando de um ataque do coração quase fatal e ""supostamente"" está em uma dieta, que o proíbe de ingerir bebidas alcoólicas e de se envolver em casos complicados. Mas a atração pelas cortes criminais é algo muito forte para ele, especialmente quando o caso é bem difícil. O único álibi de Vole é o testemunho da sua esposa, Christine Vole (Marlene Dietrich), uma mulher fria e calculista. A tarefa de Sir Wilfrid fica praticamente impossível quando Christine Vole concorda em ser testemunha, não da defesa, mas da acusação.",1957-12-17,NONE,1
19,185,Laranja Mecânica,/e8jIwfP8jr81UTFbh2qJVjBhIUL.jpg,8.2,"878,80","Em uma Inglaterra do futuro, um membro de uma gangue de delinquentes tenta desligar-se, mas é espancado pelos demais e deixado ao abandono para ser apanhado pela polícia. Na prisão, ele é submetido a um tratamento experimental para recuperar criminosos, expondo-os às mazelas que eles mesmos infligiam à sociedade.",1971-12-19,NONE,1
20,629,Os Suspeitos,/6dUjquPiLtdDgcMWJ4mgoEmkaFJ.jpg,8.2,"18,80,53","Detetive interroga um dos únicos sobreviventes de uma explosão no cais que provocou dezenas de mortes. O suspeito conta uma história sobre os eventos que levaram ele e mais quatro criminosos ao local do crime, deixando dúvidas sobre a verdade.",1995-07-19,NONE,1
